ticker,company_name,total_value,unique_managers,quarters_active,buy_add_actions,sell_reduce_actions,net_activity,phase,current_shares,current_holders,buy_count,add_count,reduce_count,sell_count,_analysis_type,_generated,_periods,_window_quarters
IDXX,IDEXX Laboratories,1945324000.0,5,4,4,12,-8,Distributing,2875443.0,4.0,3,1,11,1,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
KLAC,KLA Corp.,238290000.0,2,4,0,8,-8,Distributing,196110.0,2.0,0,0,8,0,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
JD,JD.com Inc.,162774000.0,6,4,5,13,-8,Distributing,5671561.0,4.0,0,5,10,3,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
CRH,CRH plc,743061000.0,6,4,5,13,-8,Distributing,5954017.0,4.0,0,5,12,1,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
SYK,Stryker Corp.,1553165000.0,2,4,0,8,-8,Distributing,4419056.0,2.0,0,0,8,0,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
SUI,Sun Communities Inc.,1385738000.0,4,4,11,3,8,Accumulating,11179662.0,4.0,2,9,3,0,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
AZO,AutoZone Inc.,89451000.0,3,4,2,10,-8,Distributing,26375.0,2.0,1,1,9,1,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
TDAY,Gannett Co.,49276000.0,2,4,8,0,8,Accumulating,9568156.0,2.0,0,8,0,0,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
FOXA,Fox Corporation,771030000.0,2,4,0,8,-8,Distributing,10551938.0,2.0,0,0,8,0,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
OMF,OneMain Holdings,631402000.0,4,4,3,11,-8,Distributing,9347176.0,4.0,0,3,11,0,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
BF.B,Brown-Forman Corp.,76106000.0,4,4,1,9,-8,Distributing,2911530.0,4.0,0,1,8,1,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
SLB,Schlumberger Ltd.,1275228000.0,6,4,10,2,8,Accumulating,33298862.0,6.0,3,7,1,1,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
OXY,Occidental Petroleum,14038718000.0,7,4,10,2,8,Accumulating,341409989.0,8.0,2,8,2,0,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
PDD,Pinduoduo Inc.,2124618000.0,10,4,9,17,-8,Distributing,18737268.0,6.0,2,7,12,5,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
LH,Labcorp Holdings Inc.,66487000.0,5,4,2,10,-8,Distributing,249280.0,5.0,1,1,10,0,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
CTSH,Cognizant Technology Solutions,1367826000.0,5,4,4,12,-8,Distributing,16479832.0,5.0,0,4,12,0,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
J,,0.0,3,4,0,7,-7,Distributing,0.0,0.0,0,0,4,3,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
ECL,Ecolab Inc.,1530575000.0,3,4,1,8,-7,Distributing,5830319.0,4.0,1,0,7,1,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
DAL,Delta Air Lines Inc.,99465000.0,5,4,5,12,-7,Distributing,1433209.0,4.0,1,4,12,0,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
GM,General Motors,1976003000.0,6,4,7,14,-7,Distributing,24299059.0,7.0,1,6,14,0,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
SSNC,SS&C Technologies Holdings Inc.,391315000.0,3,4,2,9,-7,Distributing,4476257.0,3.0,0,2,9,0,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
UBS,UBS AG,490418000.0,4,4,3,10,-7,Distributing,10520736.0,3.0,1,2,9,1,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
AXS,Axis Capital Holdings Ltd.,91414000.0,3,4,1,8,-7,Distributing,869221.0,2.0,0,1,8,0,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
GTX,Garrett Motion Inc.,302503000.0,4,4,1,8,-7,Distributing,17355276.0,2.0,0,1,6,2,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
VST,Vistra Corp.,1155427000.0,6,4,5,12,-7,Distributing,7161885.0,3.0,1,4,9,3,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
MCO,Moody's Corp.,22505981000.0,12,4,10,17,-7,Distributing,44055946.0,13.0,1,9,14,3,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
VZ,Verizon Communications,110976000.0,4,4,2,9,-7,Distributing,2724147.0,5.0,1,1,9,0,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
DCI,Donaldson Co.,3553000.0,3,4,0,7,-7,Distributing,40070.0,1.0,0,0,6,1,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
KMX,CarMax Inc.,99010000.0,8,4,6,13,-7,Distributing,2510224.0,5.0,1,5,9,4,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
MCD,McDonald's Corp.,1348391000.0,6,4,11,4,7,Accumulating,4411841.0,6.0,3,8,3,1,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
SNX,SYNNEX Corp.,526399000.0,3,4,2,9,-7,Distributing,3503959.0,3.0,0,2,8,1,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
NVS,Novartis AG,947887000.0,4,4,3,10,-7,Distributing,6875043.0,5.0,1,2,10,0,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
CHD,Church & Dwight,567074000.0,3,4,1,8,-7,Distributing,6762954.0,2.0,1,0,7,1,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
IFF,International Flavors & Fragrances Inc.,2287697000.0,7,4,12,5,7,Accumulating,33946035.0,6.0,1,11,4,1,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
ROP,Roper Technologies Inc.,508207000.0,3,4,1,8,-7,Distributing,1141703.0,2.0,0,1,7,1,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
LHX,L3Harris Technologies Inc.,222086000.0,4,4,4,11,-7,Distributing,756501.0,4.0,1,3,11,0,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
FIS,Fidelity National Information Services,2647644000.0,6,4,12,6,6,Accumulating,39842305.0,5.0,1,11,5,1,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
WBD,Warner Bros. Discovery Inc.,564920000.0,6,4,5,11,-6,Distributing,26852255.0,5.0,3,2,10,1,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
HDB,HDFC Bank Ltd.,33606000.0,5,4,4,10,-6,Distributing,919727.0,3.0,0,4,8,2,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
BB,BlackBerry Ltd.,138456000.0,2,4,0,6,-6,Distributing,36257053.0,2.0,0,0,6,0,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
